,Seq,_2MASS,RAJ2000,DEJ2000,Vamp,Vmag,Bamp,Bmag,Iamp,Imag,Per,Class,Rem,distance
254,117,1,205.57662499999998,28.24833333333333,0.674,15.647,0.852,15.988,0.383,15.156,0.6005290000000001,b'RR0 ',b'Bl?',7.919594729277273
74,117,1,205.57662499999998,28.24833333333333,0.674,15.647,0.852,15.988,0.383,15.156,0.6005290000000001,b'RR0 ',b'Bl?',7.919594729277273
169,287,1,205.42083333333332,28.348749999999995,0.06,16.964,0.107,17.747,0.064,15.935,,b'N/A ',b'   ',7.843982128104059
349,287,1,205.42083333333332,28.348749999999995,0.06,16.964,0.107,17.747,0.064,15.935,,b'N/A ',b'   ',7.843982128104059
189,17,1,205.59341666666663,28.256305555555553,0.824,15.684,0.972,15.972,0.474,15.188,0.5759980000000001,b'RR0 ',b'Bl?',7.744219866267946
9,17,1,205.59341666666663,28.256305555555553,0.824,15.684,0.972,15.972,0.474,15.188,0.5759980000000001,b'RR0 ',b'Bl?',7.744219866267946
191,19,1,205.65883333333332,28.310499999999998,0.507,15.745,0.589,16.119,0.29,15.162,0.6319760000000001,b'RR0 ',b'Bl?',7.742361321069141
11,19,1,205.65883333333332,28.310499999999998,0.507,15.745,0.589,16.119,0.29,15.162,0.6319760000000001,b'RR0 ',b'Bl?',7.742361321069141
192,20,1,205.6534583333333,28.303277777777772,1.025,15.588,1.209,15.846,0.583,15.186,0.4913020000000001,b'RR0 ',b'   ',7.709422549955103
12,20,1,205.6534583333333,28.303277777777772,1.025,15.588,1.209,15.846,0.583,15.186,0.4913020000000001,b'RR0 ',b'   ',7.709422549955103
38,60,1,205.45437499999997,28.290416666666662,0.699,15.561,0.882,15.974,0.446,15.023,0.7077220000000002,b'RR0 ',b'   ',7.681037552051465
218,60,1,205.45437499999997,28.290416666666662,0.699,15.561,0.882,15.974,0.446,15.023,0.7077220000000002,b'RR0 ',b'   ',7.681037552051465
168,286,1,205.46479166666663,28.283499999999997,0.171,17.406,0.104,17.816,0.128,16.304,,b'N/A ',b'   ',7.53881671590624
348,286,1,205.46479166666663,28.283499999999997,0.171,17.406,0.104,17.816,0.128,16.304,,b'N/A ',b'   ',7.53881671590624
312,202,1,205.4284583333333,28.404861111111106,0.142,15.574,0.214,16.007,0.099,14.971,0.7735620000000002,b'RR0 ',b'   ',7.385296874226942
132,202,1,205.4284583333333,28.404861111111106,0.142,15.574,0.214,16.007,0.099,14.971,0.7735620000000002,b'RR0 ',b'   ',7.385296874226942
178,296,0,205.4290833333333,28.401111111111106,0.466,18.767,0.31,19.134,0.398,18.307,0.4459550000000001,b' EB ',b'   ',7.301373889240223
