,Seq,m_Seq,Per,u_Per,Type,__Bmag_,u__Bmag_,__Vmag_,u__Vmag_,__Imag_,u__Imag_,FileName,SimbadName,_RA,_DE,Bmag,Vmag,RAJ2000,DEJ2000,distance
345,b'117',b' ',0.600535,b' ',b'RRab',15.913,b' ',15.592,b' ',15.042,b' ',b'v117',b'Cl* NGC 5272 SAW V117',205.57744583333331,28.248466666666662,15.913,15.592,205.57744583333331,28.248466666666662,7.922461707606999
108,b'117',b' ',0.600535,b' ',b'RRab',15.913,b' ',15.592,b' ',15.042,b' ',b'v117',b'Cl* NGC 5272 SAW V117',205.57744583333331,28.248466666666662,15.913,15.592,205.57744583333331,28.248466666666662,7.922461707606999
255,b' 19',b' ',0.6319774,b' ',b'RRab',16.093,b' ',15.681,b' ',15.145,b' ',b'v019',b'Cl* NGC 5272 SAW V 19',205.6591333333333,28.310477777777773,16.093,15.681,205.6591333333333,28.310477777777773,7.758457988785624
18,b' 19',b' ',0.6319774,b' ',b'RRab',16.093,b' ',15.681,b' ',15.145,b' ',b'v019',b'Cl* NGC 5272 SAW V 19',205.6591333333333,28.310477777777773,16.093,15.681,205.6591333333333,28.310477777777773,7.758457988785624
253,b' 17',b' ',0.5761594,b' ',b'RRab',16.02,b' ',15.68,b' ',15.127,b' ',b'v017',b'Cl* NGC 5272 SAW V 17',205.59341666666663,28.256305555555553,16.02,15.68,205.59341666666663,28.256305555555553,7.744219866267946
16,b' 17',b' ',0.5761594,b' ',b'RRab',16.02,b' ',15.68,b' ',15.127,b' ',b'v017',b'Cl* NGC 5272 SAW V 17',205.59341666666663,28.256305555555553,16.02,15.68,205.59341666666663,28.256305555555553,7.744219866267946
256,b' 20',b' ',0.4912636,b' ',b'RRab',15.988,b' ',15.656,b' ',15.215,b' ',b'v020',b'Cl* NGC 5272 SAW V 20',205.65377499999997,28.30324444444444,15.988,15.656,205.65377499999997,28.30324444444444,7.726112695727742
19,b' 20',b' ',0.4912636,b' ',b'RRab',15.988,b' ',15.656,b' ',15.215,b' ',b'v020',b'Cl* NGC 5272 SAW V 20',205.65377499999997,28.30324444444444,15.988,15.656,205.65377499999997,28.30324444444444,7.726112695727742
296,b' 60',b' ',0.707728,b' ',b'RRab',15.936,b' ',15.506,b' ',,b' ',b'v060',b'Cl* NGC 5272 SAW V 60',205.45473749999996,28.29042222222222,15.936,15.506,205.45473749999996,28.29042222222222,7.6648476583886165
59,b' 60',b' ',0.707728,b' ',b'RRab',15.936,b' ',15.506,b' ',,b' ',b'v060',b'Cl* NGC 5272 SAW V 60',205.45473749999996,28.29042222222222,15.936,15.506,205.45473749999996,28.29042222222222,7.6648476583886165
413,b'202',b' ',0.773571,b' ',b'RRab',15.959,b' ',15.558,b' ',14.977,b':',b'v202',b'Cl* NGC 5272 SAW V202',205.4288333333333,28.404808333333328,15.959,15.558,205.4288333333333,28.404808333333328,7.362659746044852
176,b'202',b' ',0.773571,b' ',b'RRab',15.959,b' ',15.558,b' ',14.977,b':',b'v202',b'Cl* NGC 5272 SAW V202',205.4288333333333,28.404808333333328,15.959,15.558,205.4288333333333,28.404808333333328,7.362659746044852
298,b' 62',b' ',0.6524099,b' ',b'RRab',16.027,b' ',15.643,b' ',15.085,b' ',b'v062',b'Cl* NGC 5272 SAW V 62',205.5762708333333,28.49424444444444,16.027,15.643,205.5762708333333,28.49424444444444,7.214304490358047
61,b' 62',b' ',0.6524099,b' ',b'RRab',16.027,b' ',15.643,b' ',15.085,b' ',b'v062',b'Cl* NGC 5272 SAW V 62',205.5762708333333,28.49424444444444,16.027,15.643,205.5762708333333,28.49424444444444,7.214304490358047
60,b' 61',b' ',0.5209053,b' ',b'RRab',15.991,b':',15.69,b' ',15.207,b':',b'v061',b'Cl* NGC 5272 SAW V 61',205.60775416666664,28.47930833333333,15.991,15.69,205.60775416666664,28.47930833333333,7.081883903205646
