,recno,RRt,Saw,__Bmag_,__Vmag_,_RA,_DE,Bmag,Vmag,RAJ2000,DEJ2000,distance
188,189,b'Blaz',117,15.917,15.597,205.57744583333331,28.248466666666662,15.917,15.597,205.57744583333331,28.248466666666662,7.922461707606999
187,188,b'Blaz',117,15.896,15.57,205.57744583333331,28.248466666666662,15.896,15.57,205.57744583333331,28.248466666666662,7.922461707606999
30,31,b'RRab',19,16.065,15.679,205.6591333333333,28.310477777777773,16.065,15.679,205.6591333333333,28.310477777777773,7.758457988785624
99,100,b'Blaz',17,15.933,15.613,205.5937083333333,28.256305555555553,15.933,15.613,205.5937083333333,28.256305555555553,7.750338636930637
100,101,b'Blaz',17,15.935,15.62,205.5937083333333,28.256305555555553,15.935,15.62,205.5937083333333,28.256305555555553,7.750338636930637
105,106,b'Blaz',20,15.875,15.566,205.65377499999997,28.30324444444444,15.875,15.566,205.65377499999997,28.30324444444444,7.726112695727742
106,107,b'Blaz',20,15.86,15.614,205.65377499999997,28.30324444444444,15.86,15.614,205.65377499999997,28.30324444444444,7.726112695727742
49,50,b'RRab',60,15.871,15.516,205.45473749999996,28.29042222222222,15.871,15.516,205.45473749999996,28.29042222222222,7.6648476583886165
88,89,b'RRab',202,15.921,15.526,205.4288333333333,28.404808333333328,15.921,15.526,205.4288333333333,28.404808333333328,7.362659746044852
154,155,b'Blaz',62,15.988,15.61,205.5762708333333,28.49424444444444,15.988,15.61,205.5762708333333,28.49424444444444,7.214304490358047
155,156,b'Blaz',62,15.999,15.622,205.5762708333333,28.49424444444444,15.999,15.622,205.5762708333333,28.49424444444444,7.214304490358047
151,152,b'Blaz',61,15.907,15.615,205.60775416666664,28.47930833333333,15.907,15.615,205.60775416666664,28.47930833333333,7.081883903205646
152,153,b'Blaz',61,15.932,15.641,205.60775416666664,28.47930833333333,15.932,15.641,205.60775416666664,28.47930833333333,7.081883903205646
6,7,b'RRc ',85,15.706,15.483,205.64469166666663,28.441391666666664,15.706,15.483,205.64469166666663,28.441391666666664,6.940237755723678
75,76,b'RRab',120,16.041,15.663,205.45441666666665,28.44223055555555,16.041,15.663,205.45441666666665,28.44223055555555,6.855466473342665
65,66,b'RRab',92,15.885,15.619,205.53949999999998,28.26461666666666,15.885,15.619,205.53949999999998,28.26461666666666,6.780755470152673
71,72,b'RRab',108,15.955,15.678,205.47857499999998,28.464466666666663,15.955,15.678,205.47857499999998,28.464466666666663,6.702782386144632
46,47,b'RRab',55,15.943,15.654,205.4836458333333,28.468247222222217,15.943,15.654,205.4836458333333,28.468247222222217,6.700352300908714
3,4,b'RRc ',56,15.834,15.607,205.5031083333333,28.47766944444444,15.834,15.607,205.5031083333333,28.47766944444444,6.608565594523548
31,32,b'RRab',21,15.962,15.649,205.65779999999998,28.383752777777776,15.962,15.649,205.65779999999998,28.383752777777776,6.574531356207819
25,26,b'RRab',9,15.916,15.628,205.45661666666663,28.320252777777775,15.916,15.628,205.45661666666663,28.320252777777775,6.484131882820006
51,52,b'RRab',65,15.823,15.493,205.58751666666663,28.469449999999995,15.823,15.493,205.58751666666663,28.469449999999995,6.007412639896299
50,51,b'RRab',64,16.019,15.659,205.58414166666665,28.47009166666666,16.019,15.659,205.58414166666665,28.47009166666666,5.967175897021359
29,30,b'RRab',16,15.96,15.683,205.45331249999998,28.352263888888885,15.96,15.683,205.45331249999998,28.352263888888885,5.90027060251985
10,11,b'RRc ',107,15.851,15.63,205.5238458333333,28.47125555555555,15.851,15.63,205.5238458333333,28.47125555555555,5.828240144298745
158,159,b'Blaz',63,15.999,15.663,205.55965833333332,28.473313888888885,15.999,15.663,205.55965833333332,28.473313888888885,5.801560713328852
157,158,b'Blaz',63,15.977,15.647,205.55965833333332,28.473313888888885,15.977,15.647,205.55965833333332,28.473313888888885,5.801560713328852
39,40,b'RRab',40,15.991,15.668,205.46256249999996,28.409152777777773,15.991,15.668,205.46256249999996,28.409152777777773,5.4947974681786595
2,3,b'RRc ',37,15.856,15.624,205.47349166666663,28.423391666666664,15.856,15.624,205.47349166666663,28.423391666666664,5.27871059502408
103,104,b'Blaz',18,15.965,15.672,205.5792833333333,28.296463888888884,15.965,15.672,205.5792833333333,28.296463888888884,5.190451261734461
102,103,b'Blaz',18,15.987,15.684,205.5792833333333,28.296463888888884,15.987,15.684,205.5792833333333,28.296463888888884,5.190451261734461
108,109,b'Blaz',23,15.957,15.619,205.51219999999998,28.455663888888886,15.957,15.619,205.51219999999998,28.455663888888886,5.180923742002893
107,108,b'Blaz',23,15.9,15.58,205.51219999999998,28.455663888888886,15.9,15.58,205.51219999999998,28.455663888888886,5.180923742002893
22,23,b'RRc ',203,15.733,15.546,205.53971666666664,28.291736111111106,15.733,15.546,205.53971666666664,28.291736111111106,5.158926192576244
74,75,b'RRab',119,15.901,15.614,205.62849999999997,28.408111111111108,15.901,15.614,205.62849999999997,28.408111111111108,5.148891343816365
127,128,b'Blaz',39,16.03,15.672,205.4710958333333,28.411727777777774,16.03,15.672,205.4710958333333,28.411727777777774,5.078873039001916
126,127,b'Blaz',39,15.959,15.633,205.4710958333333,28.411727777777774,15.959,15.633,205.4710958333333,28.411727777777774,5.078873039001916
