Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.026915 0.28364 1.06296 0.0973237306 1.1483535767    0.097 -0.447  3.4135  2.479    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.06e-30      0.00 6.755e-01 2.972e-01 4.913e-03 1.325e-03 1.202e-02 -1.000 2.732e-02 5.888 11.964 11.475 10.264 8.525 6.536 3.830 3.266 2.864
0.026915 0.28364 1.06296 0.1072127670 1.2286797762    0.107 -0.330  3.4230  2.440    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.09e-30      0.00 6.755e-01 2.972e-01 4.913e-03 1.325e-03 1.202e-02 -1.000 2.732e-02 5.595 11.599 11.125 9.933 8.212 6.232 3.532 2.945 2.573
0.026915 0.28364 1.06296 0.1269908249 1.3637187481    0.127 -0.101  3.4458  2.377    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.13e-30      0.00 6.755e-01 2.972e-01 4.913e-03 1.325e-03 1.202e-02 -1.000 2.732e-02 5.022 10.831 10.371 9.261 7.596 5.639 2.967 2.265 1.991
0.026915 0.28364 1.06296 0.1467688978 1.4738562107    0.146  0.114  3.4686  2.316    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.2e-30      0.00 6.755e-01 2.972e-01 4.913e-03 1.325e-03 1.202e-02 -1.000 2.732e-02 4.485 10.175 9.661 8.606 6.987 5.062 2.488 1.644 1.426
0.026915 0.28364 1.06296 0.1665469706 1.5662131310    0.166  0.283  3.4849  2.266    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.28e-30      0.00 6.755e-01 2.972e-01 4.913e-03 1.325e-03 1.202e-02 -1.000 2.732e-02 4.061 9.691 9.086 8.024 6.439 4.559 2.120 1.208 0.997
0.026915 0.28364 1.06296 0.2061031163 1.7141827345    0.205  0.558  3.5077  2.175    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.44e-30      0.00 6.755e-01 2.972e-01 4.913e-03 1.325e-03 1.202e-02 -1.000 2.732e-02 3.375 8.937 8.110 7.009 5.491 3.680 1.505 0.549 0.336
0.026915 0.28364 1.06296 0.2555482686 1.8542090654    0.255  0.811  3.5263  2.090    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.63e-30      0.00 6.755e-01 2.972e-01 4.913e-03 1.325e-03 1.202e-02 -1.000 2.732e-02 2.742 8.215 7.054 5.873 4.492 2.781 0.931 -0.026 -0.238
0.026915 0.28364 1.06296 0.3049934506 1.9628072977    0.305  1.004  3.5382  2.022    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.78e-30      0.00 6.755e-01 2.972e-01 4.913e-03 1.325e-03 1.202e-02 -1.000 2.732e-02 2.260 7.645 6.249 5.053 3.792 2.126 0.480 -0.458 -0.665
0.026915 0.28364 1.06296 0.3544386327 2.0506329536    0.354  1.161  3.5462  1.963    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.97e-30      0.00 6.755e-01 2.972e-01 4.913e-03 1.325e-03 1.202e-02 -1.000 2.732e-02 1.867 7.153 5.630 4.408 3.230 1.628 0.106 -0.810 -1.014
0.026915 0.28364 1.06296 0.4038838446 2.1238200665    0.404  1.301  3.5514  1.901    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.39e-30      0.00 6.755e-01 2.972e-01 4.913e-03 1.325e-03 1.202e-02 -1.000 2.732e-02 1.517 6.713 5.131 3.876 2.748 1.215 -0.230 -1.126 -1.331
